Weather	Road_Type	Time_of_Day	Traffic_Density	Speed_Limit	Number_of_Vehicles	Driver_Alcohol	Accident_Severity	Road_Condition	Vehicle_Type	Driver_Age	Driver_Experience	Road_Light_Condition	Accident
Rainy	City Road	Morning	1	100	5	0		Wet	Car	51	48	Artificial Light	0
Clear	Rural Road	Night		120	3	0	Moderate	Wet	Truck	49	43	Artificial Light	0
Rainy	Highway	Evening	1	60	4	0	Low	Icy	Car	54	52	Artificial Light	0
Clear	City Road	Afternoon	2	60	3	0	Low	Under Construction	Bus	34	31	Daylight	0
Rainy	Highway	Morning	1	195	11	0	Low	Dry	Car	62	55	Artificial Light	1
Clear	Rural Road	Night	0	120	3	0	Moderate		Truck	49	43	Artificial Light	0
Foggy	Highway	Afternoon	0	60	4	0	Low	Dry	Truck	27	26	Daylight	1
Rainy	City Road	Afternoon	0	60	4	0	Low	Dry	Car	29	22	Artificial Light	1
Stormy	Highway	Morning	1	60	2	0	High	Icy	Car	38	29	Artificial Light	0
Rainy	City Road	Afternoon	2	30	2	0	Low	Dry	Truck	50	48	Artificial Light	0
Foggy		Evening		60	2	0	Moderate	Dry	Car	33	28	Artificial Light	
Clear	Mountain Road	Night	2	100	5	0	Low	Dry	Motorcycle	47	38	Artificial Light	1
	Rural Road	Afternoon	0	60	4	0		Dry	Car	25	16	Artificial Light	0
Rainy	City Road	Night	0	30	1	1	Moderate		Motorcycle	67	63	Artificial Light	1
Clear	Rural Road	Morning	0		1	0	Low		Car	61	57	Artificial Light	0
Clear	Rural Road	Night	0	60	5	0	Low	Wet	Truck	46		Artificial Light	0
Rainy	City Road		0	60	5	0	Moderate	Wet	Car	48	41	Daylight	0
Snowy		Afternoon	1	100	3	0		Under Construction	Motorcycle	53		Artificial Light	0
Foggy	City Road	Night	1	60	3	0	Moderate	Wet	Motorcycle	35	32	No Light	0
Clear	City Road	Afternoon	1	50	1	0	Moderate	Dry	Car	59	53	Daylight	1
Clear	City Road	Morning	2	60	2	0	Low	Dry	Car	27	23	Daylight	0
Foggy	Rural Road	Evening	0	100	5	0	Moderate	Icy	Car	32	24		0
Clear	Highway	Morning	0	30	1	0	Low	Dry	Car	53	47	Daylight	0
Rainy	Rural Road	Afternoon	0	30	4	1	Low	Under Construction		69	64	Daylight	0
Rainy	Highway	Morning	1	50	3	0	Low		Car	68	60	Daylight	1
